source,event_id,heat_id,division_id,athlete_id,result_total,win_by,needs,place,round,round_position,heat_id_athlete_id
Live Heats,190953,2021400,363706,1169471,1.0,,,1,Final,0,2021400_1169471
Live Heats,190953,2021400,363706,1166233,1.0,,,1,Final,0,2021400_1166233
Live Heats,190953,2021400,363706,1181562,3.0,,,3,Final,0,2021400_1181562
Live Heats,190953,2021400,363706,1405412,3.0,,,3,Final,0,2021400_1405412
Live Heats,190953,2021400,363706,1163257,5.0,,,5,Final,0,2021400_1163257
Live Heats,190953,2021400,363706,1076663,5.0,,,5,Final,0,2021400_1076663
Live Heats,190953,2021401,363707,1076672,1.0,,,1,Final,0,2021401_1076672
Live Heats,190953,2021401,363707,903847,2.0,,,2,Final,0,2021401_903847
Live Heats,190953,2021401,363707,1078967,3.0,,,3,Final,0,2021401_1078967
Live Heats,190953,2021401,363707,1076674,4.0,,,4,Final,0,2021401_1076674
Live Heats,190953,2021402,363708,597678,1.0,,,1,Final,0,2021402_597678
Live Heats,190953,2021402,363708,1076613,2.0,,,2,Final,0,2021402_1076613
Live Heats,190953,2021402,363708,1076697,3.0,,,3,Final,0,2021402_1076697
Live Heats,147526,1764576,290156,923890,1.0,,,1,Final,0,1764576_923890
Live Heats,147526,1764576,290156,923891,2.0,,,2,Final,0,1764576_923891
Live Heats,147526,1764576,290156,1576025,3.0,,,3,Final,0,1764576_1576025
Live Heats,147526,1764576,290156,1576322,4.0,,,4,Final,0,1764576_1576322
Live Heats,147526,1764576,290156,530553,5.0,,,5,Final,0,1764576_530553
Live Heats,147526,1764576,290156,923894,5.0,,,5,Final,0,1764576_923894
Live Heats,147526,1764576,290156,923893,5.0,,,5,Final,0,1764576_923893
Live Heats,147526,1764576,290156,923892,5.0,,,5,Final,0,1764576_923892
Live Heats,147526,1764576,290156,530548,9.0,,,9,Final,0,1764576_530548
Live Heats,147526,1764576,290156,923900,9.0,,,9,Final,0,1764576_923900
Live Heats,147526,1764576,290156,923899,9.0,,,9,Final,0,1764576_923899
Live Heats,147526,1764576,290156,923884,9.0,,,9,Final,0,1764576_923884
Live Heats,147526,1764576,290156,923898,9.0,,,9,Final,0,1764576_923898
Live Heats,147526,1764576,290156,923897,9.0,,,9,Final,0,1764576_923897
Live Heats,147526,1764576,290156,923896,9.0,,,9,Final,0,1764576_923896
Live Heats,147526,1764576,290156,923895,9.0,,,9,Final,0,1764576_923895
Live Heats,147526,1764576,290156,923910,17.0,,,17,Final,0,1764576_923910
Live Heats,147526,1764576,290156,923908,17.0,,,17,Final,0,1764576_923908
Live Heats,147526,1764576,290156,923911,17.0,,,17,Final,0,1764576_923911
Live Heats,147526,1764576,290156,923907,17.0,,,17,Final,0,1764576_923907
Live Heats,147526,1764576,290156,923906,17.0,,,17,Final,0,1764576_923906
Live Heats,147526,1764576,290156,923905,17.0,,,17,Final,0,1764576_923905
Live Heats,147526,1764576,290156,923909,17.0,,,17,Final,0,1764576_923909
